company,position,connected_on,user
LarrainVial,Analista de Fidelización y Producción de Eventos,2021-12-07,Camilo
BlackRock,"Managing Director, Chief Investment Strategist Latin America & Iberia",2021-12-03,Camilo
ACAFI,Gerente de Estudios,2021-12-03,Camilo
Banco Falabella Chile,Analista de Riesgo Financiero,2021-12-02,Camilo
Quiñenco S.A.,Special Advisor to the Chairman,2021-12-02,Camilo
ETpay,Founding Partner / Director,2021-11-29,Camilo
Banchile Inversiones,Analista de Riesgo Crédito y Mercado,2021-11-26,Camilo
Frontal Trust,Managing Partner Frontal Trust U.S.,2021-11-25,Camilo
Jooycar,Operations Director,2021-11-25,Camilo
Colbun S.A,Board Member,2021-11-25,Camilo
HCS Capital,CEO,2021-11-24,Camilo
Banchile Inversiones,Senior Capital Markets Analyst,2021-11-24,Camilo
Flux Solar SpA,Subgerente de Ejecución ,2021-11-20,Camilo
University of Colorado Boulder,MBA Candidate,2021-11-20,Camilo
Banchile Inversiones,Subgerente Zonal(Sucursales y Wealth Management Zona Centro),2021-11-20,Camilo
Credit Suisse,Relationship Manager - Latam,2021-11-20,Camilo
GoodMeal,Brand Manager,2021-11-16,Camilo
City Credit Capital,Country  Director,2021-11-14,Camilo
Falabella Financiero,Senior Product Analyst,2021-11-12,Camilo
Banchile Inversiones,Wealth Management Manager | Private Banking Chile & Edwards,2021-11-11,Camilo
Banca.Me (Techstars '23),Board Member,2021-11-09,Camilo
Banchile Inversiones,Gerente Sucursales RM- Regiones y Segmento Digital,2021-11-08,Camilo
Seminarium / Promap,Head Hunter,2021-11-08,Camilo
VITZANA,Founder,2021-11-07,Camilo
BYU MBA,MBA Candidate,2021-11-05,Camilo
Generadora Metropolitana ,Administrador de Contratos,2021-11-05,Camilo
Fundación Pro Bono Chile,Coordinador Pro Bono y de Género en Cuatrecasas (Chile),2021-11-05,Camilo
"Hospital Militar de Santiago ""Gral. Luis Felipe Brieba Arán""",Facturación Finanzas,2021-11-05,Camilo
"Gutiérrez, Waugh, Jimeno & Asenjo Abogados",Partner,2021-11-05,Camilo
Inversiones Marchigue,Gerente Inversión Inmobiliaria,2021-11-05,Camilo
Mercado Libre,Business Developer Mercado Pago,2021-10-29,Camilo
Go PlanBe,Socio Director Go PlanBe,2021-10-29,Camilo
Calev Consulting,Directora Comercial ,2021-10-27,Camilo
ACAFI (Asociación Adm. Fondos de Inversión),CEO,2021-10-27,Camilo
La Merced S.p.A.,CEO,2021-10-27,Camilo
Tesla,Data Analyst,2021-10-26,Camilo
Siasa Consultores,Partner,2021-10-26,Camilo
Valoral Advisors,Founder and Managing Director,2021-10-26,Camilo
SCAN Chile Inteligencia de Mercado,CEO,2021-10-25,Camilo
Wicuk,Board Member,2021-10-25,Camilo
Guerrero Olivos,Partner,2021-10-23,Camilo
Inversiones Security,Ejecutiva de inversiones,2021-10-23,Camilo
Andes Logistics,Ejecutiva comercial,2021-10-20,Camilo
JLL,Board Member,2021-10-14,Camilo
Ripley Chile,Product Manager,2021-10-12,Camilo
Grupo Nuestros Parques,Board Member,2021-10-12,Camilo
Latam Trade Capital,Senior Latam Risk Analyst,2021-10-10,Camilo
Grupo Cinco Consultores,Partner,2021-10-10,Camilo
PROVEEDORA INDUSTRIAL MINERA ANDINA S.A,Head of Parts and Consumables Department,2021-10-10,Camilo
Corpgroup,Gerente de finanzas | CFO,2021-10-07,Camilo
Zurich Financial Services,Portfolio Manager Renta Fija,2021-10-05,Camilo
Penta Vida,Jefe de riesgo de crédito,2021-10-03,Camilo
SURA Chile,Fixed Income Associate,2021-09-30,Camilo
Banchile Inversiones,Broker Senior Private Wealth Management,2021-09-30,Camilo
Alcaíno Abogados,Abogado asociado,2021-09-30,Camilo
ENTORNO,CEO,2021-09-30,Camilo
Capital Investments,Capital Investments,2021-09-30,Camilo
3L Servicios Financieros,Ingeniero de Proyectos,2021-09-30,Camilo
